"","sdate","edate","duration","mag","area","lat","lon"
"1",2003-07-26,2003-10-02,68,0.59,1558085.49,31.5097517293576,-139.365227944397
"2",2004-06-03,2004-08-11,69,0.78,1703797.01,31.1773417570585,-141.279900160838
"3",2005-07-02,2005-10-02,92,0.38,487678.78,32.6731866324047,-157.762730545854
"4",2006-07-22,2006-11-21,122,0.61,1632944.79,33.6288653027648,-167.460961555219
"5",2007-08-15,2007-11-12,89,0.7,944789.72,31.8006104551194,-152.185207132743
"6",2008-08-10,2008-11-16,98,0.51,1705471.25,20.7895301227094,-152.68468684138
"7",2009-06-13,2009-10-10,119,0.41,338476.49,25.56792347451,-149.188328880922
"8",2010-07-05,2010-08-28,54,0.57,516608.24,21.8698625326817,-167.960441263856
"9",2011-09-07,2011-11-12,66,0.41,850077.89,32.1330204274186,-152.518193605167
"10",2012-09-01,2012-11-06,66,0.44,428627.84,34.2105827542884,-169.542127007873
"11",2013-07-10,2013-10-02,84,0.49,966819.32,26.2327434191083,-152.185207132743
"12",2014-06-14,2014-09-01,79,0.6,1613450.41,31.3850979897454,-140.822043761255
"13",2015-08-01,2015-10-01,61,0.29,1293443.23,23.4488099011028,-164.255966758133
"14",2016-08-02,2016-09-25,54,0.37,397764.04,25.56792347451,-169.458880389767
"15",2017-07-30,2017-09-05,37,0.28,1063727.22,25.9834359398839,-159.386039598924
"16",2018-07-16,2018-10-27,103,0.65,2332617.08,22.7839899565044,-148.35586269986
"17",2019-06-11,2019-09-08,89,0.72,1534100.27,30.4294193193853,-136.035363220152
"18",2020-06-01,2020-11-20,172,1.16,2685496.54,32.5069816462551,-150.353781534408
"19",2021-06-15,2021-10-08,115,0.2,445311.83,27.2715245825432,-154.016632731078
