"","sdate","edate","duration","mag","area","lon","lat"
"1",2003-07-14,2003-10-05,83,0.59,345211.29,-152.90417175293,25.3509987284343
"2",2004-06-10,2004-08-14,65,0.78,368230.53,-147.250794408881,26.7839415145039
"3",2005-05-25,2005-06-19,25,0.5,142806.33,-156.993205016963,34.0319244041099
"4",2006-07-26,2006-09-18,54,0.66,272634.89,-139.66218207918,30.5353262251917
"5",2007-06-07,2007-06-26,19,0.23,153867.88,-163.946022210165,33.0034078193434
"6",2007-08-20,2007-12-30,132,1.22,521300.87,-161.02005668101,32.673861484919
"8",2011-09-15,2011-12-30,106,3,640158.59,-164.005249841508,33.5020550054905
"9",2012-06-15,2012-07-29,44,0.25,136999.14,-150.345357650366,23.0569630141486
"10",2015-08-02,2015-12-11,131,0.6,895757.72,-138.379231317259,32.2923659850714
"11",2017-08-27,2017-09-14,18,0.25,383286.23,-153.758409756306,29.9163089986238
"12",2018-07-28,2018-10-21,85,0.67,942913.84,-136.642229040987,29.5841811251167
"13",2019-05-23,2019-08-29,98,0.73,513133.05,-153.296459249093,24.7039275999198
"14",2020-07-16,2020-08-15,30,0.8,357914.97,-158.240602721416,30.3752847835516
"15",2020-09-16,2020-12-30,105,1.36,1073950.23,-161.360873384632,34.291686056258
"16",2021-06-02,2021-07-03,31,0.17,180390.39,-164.227909126667,30.3498363907719
